ID	text,image
1	neutral,positive
2	neutral,positive
3	neutral,positive
4	positive,positive
5	positive,positive
6	positive,positive
7	positive,positive
8	neutral,positive
9	positive,positive
10	negative,negative
11	positive,positive
12	positive,positive
13	positive,positive
14	positive,positive
15	positive,positive
16	positive,positive
17	positive,positive
18	neutral,positive
19	negative,negative
20	neutral,positive
21	positive,positive
22	negative,negative
23	positive,positive
24	neutral,neutral
25	neutral,neutral
26	neutral,neutral
27	neutral,neutral
28	neutral,positive
29	neutral,positive
30	neutral,negative
31	positive,positive
32	neutral,positive
33	neutral,neutral
34	positive,positive
35	neutral,positive
36	positive,positive
37	positive,negative
38	positive,positive
39	neutral,neutral
40	positive,positive
41	neutral,negative
42	positive,positive
43	neutral,positive
44	neutral,positive
45	neutral,positive
46	neutral,neutral
47	neutral,positive
48	neutral,positive
49	neutral,positive
50	positive,negative
51	positive,neutral
52	neutral,negative
53	neutral,positive
54	positive,positive
55	neutral,negative
56	neutral,neutral
57	positive,neutral
58	positive,positive
59	neutral,positive
60	neutral,positive
61	neutral,positive
62	positive,neutral
63	neutral,positive
64	neutral,negative
65	positive,positive
66	positive,positive
67	positive,positive
68	positive,positive
69	negative,negative
70	neutral,positive
71	neutral,positive
72	neutral,negative
73	neutral,neutral
74	positive,neutral
75	neutral,negative
76	positive,positive
77	positive,positive
78	neutral,positive
79	positive,positive
80	negative,negative
81	positive,positive
82	positive,neutral
83	positive,positive
84	positive,neutral
85	neutral,neutral
86	positive,neutral
87	negative,negative
88	positive,positive
89	positive,positive
90	negative,positive
91	positive,positive
92	positive,positive
93	negative,negative
94	positive,positive
95	positive,positive
96	positive,positive
97	negative,negative
98	positive,positive
99	neutral,positive
100	positive,positive
101	neutral,positive
102	neutral,positive
103	positive,positive
104	neutral,neutral
105	neutral,neutral
106	neutral,neutral
107	neutral,positive
108	neutral,neutral
109	neutral,positive
110	negative,negative
111	positive,positive
112	positive,positive
113	neutral,positive
114	positive,positive
115	positive,positive
116	neutral,neutral
117	neutral,neutral
118	negative,negative
119	neutral,negative
120	positive,positive
121	positive,positive
122	positive,positive
123	positive,positive
124	positive,positive
125	neutral,positive
126	neutral,positive
127	positive,neutral
128	positive,neutral
129	neutral,positive
130	negative,negative
131	negative,negative
132	neutral,positive
133	neutral,positive
134	neutral,negative
135	neutral,positive
136	neutral,neutral
137	positive,positive
138	neutral,positive
139	positive,neutral
140	neutral,neutral
141	neutral,positive
142	neutral,neutral
143	positive,neutral
144	positive,positive
145	positive,positive
146	neutral,neutral
147	neutral,positive
148	neutral,positive
149	positive,positive
150	negative,positive
151	positive,positive
152	negative,positive
153	negative,neutral
154	positive,positive
155	neutral,neutral
156	positive,positive
157	neutral,positive
158	neutral,negative
159	negative,neutral
160	negative,positive
161	positive,positive
162	positive,positive
163	positive,positive
164	negative,negative
165	neutral,neutral
166	positive,positive
167	positive,neutral
168	neutral,positive
169	neutral,negative
170	positive,neutral
171	positive,positive
172	positive,positive
173	positive,neutral
174	positive,neutral
175	positive,positive
176	neutral,positive
177	neutral,positive
178	positive,positive
179	negative,negative
180	neutral,neutral
181	neutral,neutral
182	positive,positive
183	positive,neutral
184	neutral,neutral
185	positive,positive
186	negative,negative
187	neutral,positive
188	negative,negative
189	negative,neutral
190	negative,neutral
191	positive,positive
192	neutral,positive
193	neutral,positive
194	negative,negative
195	negative,negative
196	negative,negative
197	positive,positive
198	neutral,neutral
199	positive,positive
200	negative,positive
201	negative,negative
202	negative,negative
203	negative,negative
204	negative,negative
205	negative,negative
206	positive,negative
207	neutral,positive
208	negative,negative
209	neutral,positive
210	positive,positive
211	neutral,neutral
212	neutral,positive
213	positive,positive
214	positive,positive
215	positive,positive
216	positive,positive
217	positive,positive
218	neutral,positive
219	neutral,neutral
220	neutral,positive
221	positive,positive
222	positive,positive
223	neutral,positive
224	positive,positive
225	neutral,positive
226	neutral,positive
227	neutral,positive
228	neutral,positive
229	positive,positive
230	positive,positive
231	positive,positive
232	negative,negative
233	positive,positive
234	neutral,negative
235	negative,positive
236	negative,positive
237	positive,positive
238	negative,positive
239	positive,positive
240	positive,neutral
241	positive,positive
242	positive,positive
243	neutral,neutral
244	neutral,positive
245	neutral,neutral
246	negative,negative
247	positive,positive
248	neutral,negative
249	negative,negative
250	neutral,negative
251	neutral,positive
252	neutral,positive
253	negative,negative
254	negative,negative
255	negative,negative
256	positive,neutral
257	positive,positive
258	neutral,negative
259	neutral,positive
260	negative,negative
261	neutral,positive
262	negative,positive
263	neutral,positive
264	negative,negative
265	neutral,positive
266	positive,positive
267	neutral,positive
268	positive,positive
269	neutral,neutral
270	neutral,positive
271	neutral,positive
272	negative,negative
273	negative,negative
274	positive,positive
275	positive,positive
276	positive,positive
277	positive,positive
278	positive,positive
279	positive,positive
280	negative,negative
281	positive,positive
